timestamp,game_num,winner,score_diff,total_moves,loss
2025-08-31 22:49:34,48,W,-77.5,632,6.8123
2025-08-31 23:01:30,49,B,12.5,709,6.7870
2025-08-31 23:11:04,50,W,-30.5,564,6.7113
2025-08-31 23:23:41,51,B,62.5,744,6.7795
2025-08-31 23:37:37,52,B,20.5,816,6.7667
2025-08-31 23:49:39,53,W,-9.5,717,6.7353
2025-09-01 00:00:27,54,W,-28.5,642,6.7964
2025-09-01 00:10:39,55,W,-63.5,608,6.8160
2025-09-01 00:18:21,56,B,45.5,457,6.8308
2025-09-01 00:28:43,57,B,12.5,618,6.8127
2025-09-01 00:36:59,58,B,35.5,494,6.8238
2025-09-01 00:48:59,59,W,-90.5,704,6.8102
2025-09-01 00:58:10,60,W,-80.5,544,6.7470
2025-09-01 01:26:38,61,B,7.5,450,6.7774
2025-09-01 01:35:10,62,B,32.5,508,6.7595
2025-09-01 01:45:16,63,W,-28.5,600,6.7351
2025-09-01 01:54:12,64,W,-95.5,533,6.8049
2025-09-01 02:01:56,65,B,39.5,531,6.7178
2025-09-01 02:07:14,66,B,16.5,520,6.7669
2025-09-01 02:18:24,67,W,-7.5,939,6.8074
2025-09-01 02:30:23,68,B,7.5,961,6.7327
2025-09-01 02:54:20,1,W,-142.5,994,6.7339
2025-09-01 03:01:10,2,B,8.5,642,6.7428
2025-09-01 03:23:59,3,B,8.5,1559,6.7556
2025-09-01 03:29:53,4,B,21.5,555,6.7886
2025-09-01 03:37:42,5,W,-78.5,702,6.8235
2025-09-01 03:43:29,6,B,13.5,544,6.8031
2025-09-01 03:52:17,7,W,-76.5,769,6.8085
2025-09-01 04:00:56,8,W,-73.5,777,6.8293
2025-09-01 04:08:44,9,B,15.5,691,6.8081
2025-09-01 04:23:31,10,W,-154.5,1150,6.8548
2025-09-01 04:29:15,11,W,-11.5,546,6.8311
2025-09-01 04:40:57,12,B,39.5,901,6.8127
2025-09-01 07:31:38,1,W,-55.5,1104,6.8434
2025-09-01 07:40:06,2,W,-95.5,760,6.7835
2025-09-01 07:50:23,3,W,-202.5,862,6.8286
2025-09-01 07:57:33,4,B,107.5,665,6.8083
2025-09-01 08:03:26,5,W,-95.5,579,6.8599
2025-09-01 09:43:02,1,B,97.5,707,6.8688
2025-09-01 09:47:31,2,W,-47.5,447,6.9036
2025-09-01 09:54:02,3,W,-54.5,596,6.8780
2025-09-01 09:59:36,4,W,-104.5,510,6.8059
2025-09-01 10:06:02,5,W,-42.5,590,6.8035
2025-09-01 10:12:11,6,W,-21.5,579,6.8483
2025-09-01 10:20:32,7,W,-27.5,696,6.8511
2025-09-01 10:29:04,8,B,26.5,786,6.8613
2025-09-01 10:35:09,9,W,-60.5,571,6.7773
2025-09-01 10:40:47,10,W,-52.5,547,6.8407
2025-09-01 10:47:44,11,W,-132.5,606,6.8557
2025-09-01 10:58:13,12,B,50.5,817,6.8930
2025-09-01 11:12:02,13,W,-65.5,819,6.9100
2025-09-01 11:17:31,14,W,-126.5,519,6.8928
2025-09-01 11:28:23,15,B,126.5,922,6.8486
2025-09-01 11:34:51,16,B,31.5,596,6.8931
2025-09-01 11:44:36,17,W,-27.5,853,6.8556
2025-09-01 11:49:33,18,W,-69.5,496,6.8270
2025-09-01 11:53:39,19,B,14.5,420,6.8959
